"","num","txt"
"3","1110","Amsterdam"
"4","1110","Haarlem"
"5","1110","C"
"6","1110","23 to 35 years"
"7","1110","36 to 50 years"
"8","1110","Male"
"9","1110","Married"
"10","1110","Unmarried"
"11","3510","Amsterdam"
"12","3510","C"
"13","3510","36 to 50 years"
"14","3510","Male"
"15","3510","Married"
"16","3510","Unmarried"
"17","4217","Amsterdam"
"18","4217","Haarlem"
"19","4217","Den Helder"
"20","4217","Zaandam"
"21","4217","A"
"22","4217","B"
"23","4217","C"
"24","4217","D"
"25","4217","12 to 13 years"
"26","4217","14 to 15 years"
"27","4217","16 to 17 years"
"28","4217","18 to 22 years"
"29","4217","23 to 35 years"
"30","4217","36 to 50 years"
"31","4217","51 to 60 years"
"32","4217","61 to 65 years"
"33","4217","66 to 70 years"
"34","4217","More than 71 years"
"35","4217","Male"
"36","4217","Female"
"37","4217","Married"
"38","4217","Unmarried"
"39","4220","Amsterdam"
"40","4220","Den Helder"
"41","4220","Zaandam"
"42","4220","A"
"43","4220","D"
"44","4220","16 to 17 years"
"45","4220","18 to 22 years"
"46","4220","23 to 35 years"
"47","4220","36 to 50 years"
"48","4220","51 to 60 years"
"49","4220","61 to 65 years"
"50","4220","66 to 70 years"
"51","4220","More than 71 years"
"52","4220","Male"
"53","4220","Married"
"54","4220","Unmarried"
"55","4230","Amsterdam"
"56","4230","Haarlem"
"57","4230","Den Helder"
"58","4230","Zaandam"
"59","4230","C"
"60","4230","D"
"61","4230","16 to 17 years"
"62","4230","18 to 22 years"
"63","4230","23 to 35 years"
"64","4230","36 to 50 years"
"65","4230","51 to 60 years"
"66","4230","Male"
"67","4230","Married"
"68","4230","Unmarried"
"69","6710","Amsterdam"
"70","6710","Haarlem"
"71","6710","Den Helder"
"72","6710","Zaandam"
"73","6710","A"
"74","6710","B"
"75","6710","C"
"76","6710","D"
"77","6710","12 to 13 years"
"78","6710","14 to 15 years"
"79","6710","16 to 17 years"
"80","6710","18 to 22 years"
"81","6710","23 to 35 years"
"82","6710","36 to 50 years"
"83","6710","51 to 60 years"
"84","6710","61 to 65 years"
"85","6710","66 to 70 years"
"86","6710","More than 71 years"
"87","6710","Less than 12 years"
"88","6710","Male"
"89","6710","Female"
"90","6710","Married"
"91","6710","Unmarried"
"92","16120","Amsterdam"
"93","16120","Haarlem"
"94","16120","Purmerend"
"95","16120","Zaandam"
"96","16120","A"
"97","16120","B"
"98","16120","C"
"99","16120","D"
"100","16120","12 to 13 years"
"101","16120","14 to 15 years"
"102","16120","16 to 17 years"
"103","16120","18 to 22 years"
"104","16120","23 to 35 years"
"105","16120","36 to 50 years"
"106","16120","51 to 60 years"
"107","16120","61 to 65 years"
"108","16120","66 to 70 years"
"109","16120","More than 71 years"
"110","16120","Male"
"111","16120","Female"
"112","16120","Married"
"113","16120","Unmarried"
"114","16160","Amsterdam"
"115","16160","Haarlem"
"116","16160","Den Helder"
"117","16160","Zaandam"
"118","16160","A"
"119","16160","B"
"120","16160","C"
"121","16160","D"
"122","16160","14 to 15 years"
"123","16160","16 to 17 years"
"124","16160","18 to 22 years"
"125","16160","23 to 35 years"
"126","16160","36 to 50 years"
"127","16160","51 to 60 years"
"128","16160","61 to 65 years"
"129","16160","66 to 70 years"
"130","16160","More than 71 years"
"131","16160","Male"
"132","16160","Female"
"133","16160","Married"
"134","16160","Unmarried"
"135","16190","Amsterdam"
"136","16190","A"
"137","16190","C"
"138","16190","D"
"139","16190","14 to 15 years"
"140","16190","23 to 35 years"
