"m","occ","pop"
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",84
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",32
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",36
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",63
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",51
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",107
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",80
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",141
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",101
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",121
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",126
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",594
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",603
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",64
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",50
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",60
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",62
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",2
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",33
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",58
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",558
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",944
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",14
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",0
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",586
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",1656
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",12
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",24
"http://cedar.example.org/ns#ac-10076","http://cedar.example.org/ns#hisco--1",881
