"sex","municipality","marital_status","occupation","position","population"
"sex-M","ac-10093","marital-Married","hisco-79100","job-D",1
"sex-M","ac-10093","marital-Married","hisco-79100","job-A",7
"sex-M","ac-10093","marital-Married","hisco-79310","job-A",1
"sex-M","ac-10093","marital-Married","hisco-93120","job-A",15
"sex-M","ac-10093","marital-Married","hisco-93120","job-D",31
"sex-M","ac-10093","marital-Married","hisco-21240","job-A",6
"sex-M","ac-10093","marital-NotMarried","hisco-55240","job-D",3
"sex-M","ac-10093","marital-Married","hisco--1","job-D",1
"sex-M","ac-10093","marital-Married","hisco-87330","job-D",1
"sex-M","ac-10093","marital-NotMarried","hisco-81000","job-A",1
"sex-M","ac-10093","marital-Married","hisco-80200","job-D",5
"sex-M","ac-10093","marital-Married","hisco-80320","job-D",6
"sex-M","ac-10093","marital-Married","hisco-95910","job-A",2
"sex-V","ac-10093","marital-NotMarried","hisco-79510","job-D",3
"sex-M","ac-10093","marital-NotMarried","hisco-93120","job-D",35
"sex-M","ac-10093","marital-NotMarried","hisco--1","job-D",1
"sex-M","ac-10093","marital-NotMarried","hisco-88050","job-D",1
"sex-M","ac-10093","marital-Married","hisco-81990","job-A",3
"sex-M","ac-10093","marital-Married","hisco-81120","job-D",2
"sex-M","ac-10093","marital-Married","hisco-81120","job-D",16
"sex-M","ac-10093","marital-NotMarried","hisco-80200","job-D",1
"sex-M","ac-10093","marital-NotMarried","hisco-80200","job-D",17
"sex-M","ac-10093","marital-NotMarried","hisco--1","job-D",2
"sex-M","ac-10093","marital-NotMarried","hisco--1","job-D",3
"sex-M","ac-10093","marital-NotMarried","hisco--1","job-D",8
"sex-M","ac-10093","marital-NotMarried","hisco-87330","job-D",8
"sex-M","ac-10093","marital-NotMarried","hisco-75000","job-D",2
"sex-M","ac-10093","marital-NotMarried","hisco-95925","job-D",2
"sex-M","ac-10093","marital-NotMarried","hisco-95410","job-D",15
"sex-V","ac-10093","marital-NotMarried","hisco-56010","job-D",1
"sex-M","ac-10093","marital-Married","hisco-21240","job-A",1
"sex-M","ac-10093","marital-Married","hisco-93120","job-D",27
"sex-M","ac-10093","marital-NotMarried","hisco-81000","job-D",1
"sex-M","ac-10093","marital-Married","hisco-74470","job-D",2
"sex-M","ac-10093","marital-Married","hisco--1","job-A",1
"sex-M","ac-10093","marital-Married","hisco-88050","job-A",1
"sex-M","ac-10093","marital-Married","hisco-95120","job-D",1
"sex-M","ac-10093","marital-Married","hisco-79310","job-D",1
"sex-M","ac-10093","marital-Married","hisco-79100","job-A",9
"sex-V","ac-10093","marital-Married","hisco-79510","job-A",9
"sex-M","ac-10093","marital-Married","hisco--1","job-D",29
"sex-M","ac-10093","marital-Married","hisco-87330","job-D",29
"sex-M","ac-10093","marital-Married","hisco--1","job-D",5
"sex-M","ac-10093","marital-Married","hisco-80200","job-D",1
"sex-M","ac-10093","marital-Married","hisco-94290","job-A",1
"sex-M","ac-10093","marital-Married","hisco-94220","job-A",1
"sex-M","ac-10093","marital-Married","hisco-94220","job-B",1
"sex-M","ac-10093","marital-Married","hisco--1","job-D",3
"sex-M","ac-10093","marital-Married","hisco--1","job-D",4
"sex-M","ac-10093","marital-NotMarried","hisco-80200","job-D",12
"sex-M","ac-10093","marital-Married","hisco-81120","job-A",1
"sex-M","ac-10093","marital-Married","hisco-81990","job-A",1
"sex-M","ac-10093","marital-Married","hisco-81120","job-D",1
"sex-M","ac-10093","marital-NotMarried","hisco-93120","job-D",2
