"occupation_label","province_label","sex_label","age_label","population"
"Bedrijfshoofden Overige","GRONINGEN","Mannen","14-20 jaar",66
"Bedrijfshoofden Overige","NOORDBRABANT","Mannen","14-20 jaar",104
"Medew.gezinsleden","NOORDBRABANT","Mannen","14-20 jaar",14737
"Vrije beroepen","NOORDBRABANT","Mannen","14-20 jaar",45
"Employé's","NOORDBRABANT","Mannen","14-20 jaar",3962
"Landbouwarbeiders","NOORDBRABANT","Mannen","14-20 jaar",4328
"Overige handarbeiders ","NOORDBRABANT","Mannen","14-20 jaar",26322
"Totaal","NOORDBRABANT","Mannen","14-20 jaar",49636
"Bedrijfshoofden Nijverheid","LIMBURG","Mannen","14-20 jaar",26
"Bedrijfshoofden Landbouw","LIMBURG","Mannen","14-20 jaar",45
"Bedrijfshoofden Winkels","LIMBURG","Mannen","14-20 jaar",8
"Medew.gezinsleden","GRONINGEN","Mannen","14-20 jaar",2968
"Bedrijfshoofden Overige","LIMBURG","Mannen","14-20 jaar",44
"Medew.gezinsleden","LIMBURG","Mannen","14-20 jaar",7078
"Vrije beroepen","LIMBURG","Mannen","14-20 jaar",54
"Employé's","LIMBURG","Mannen","14-20 jaar",2305
"Landbouwarbeiders","LIMBURG","Mannen","14-20 jaar",2052
"Overige handarbeiders ","LIMBURG","Mannen","14-20 jaar",16828
"Totaal","LIMBURG","Mannen","14-20 jaar",28440
"Bedrijfshoofden Nijverheid","AMSTERDAM","Mannen","14-20 jaar",44
"Bedrijfshoofden Landbouw","AMSTERDAM","Mannen","14-20 jaar",3
"Bedrijfshoofden Winkels","AMSTERDAM","Mannen","14-20 jaar",10
"Vrije beroepen","GRONINGEN","Mannen","14-20 jaar",15
"Bedrijfshoofden Overige","AMSTERDAM","Mannen","14-20 jaar",53
"Medew.gezinsleden","AMSTERDAM","Mannen","14-20 jaar",1238
"Vrije beroepen","AMSTERDAM","Mannen","14-20 jaar",83
"Employé's","AMSTERDAM","Mannen","14-20 jaar",4488
"Landbouwarbeiders","AMSTERDAM","Mannen","14-20 jaar",287
"Overige handarbeiders ","AMSTERDAM","Mannen","14-20 jaar",13815
"Totaal","AMSTERDAM","Mannen","14-20 jaar",20021
"Bedrijfshoofden Nijverheid","ROTTERDAM","Mannen","14-20 jaar",25
"Bedrijfshoofden Landbouw","ROTTERDAM","Mannen","14-20 jaar",2
"Bedrijfshoofden Winkels","ROTTERDAM","Mannen","14-20 jaar",6
"Employé's","GRONINGEN","Mannen","14-20 jaar",1553
"Bedrijfshoofden Overige","ROTTERDAM","Mannen","14-20 jaar",54
"Medew.gezinsleden","ROTTERDAM","Mannen","14-20 jaar",956
