parent,child
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/IJzer-_en_koperdraaiers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Scheepszeilnaaldenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Geschutgieters__geweermakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Zwaardvegers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Spijkermakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/IJzergieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Stangenmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Koper-_en_geelgieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Messenmakers_en_slijpers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Brandspuitmakers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Speldenfabrikanten_en_werklieden
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Werktuigkundigen_en_makers
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Lettergieters
http://www.data2semantics.org/data/1859_marked/Beroepen/XI,http://www.data2semantics.org/data/1859_marked/Beroepen/XI/Smeden__hoef-__kachel-_en_andere_
