"age_c" "gender_c" "occupation_c" "population"
"1" "13" "Male" "Aanleggers gas- en waterleiding" 1
"2" "16 to 17" "Male" "Aanleggers gas- en waterleiding" 1
"3" "18 to 22" "Male" "Aanleggers gas- en waterleiding" 1
"4" "25 to 35" "Male" "Aanleggers gas- en waterleiding" 2
"5" "36 to 50" "Male" "Aanleggers gas- en waterleiding" 5
"6" "51 to 60" "Male" "Aanleggers gas- en waterleiding" 5
"7" "61 to 65" "Male" "Aanleggers gas- en waterleiding" 1
"8" "23 to 24" "Male" "Aannemers" 5
"9" "25 to 35" "Male" "Aannemers" 35
"10" "36 to 50" "Male" "Aannemers" 93
"11" "51 to 60" "Male" "Aannemers" 30
"12" "61 to 65" "Male" "Aannemers" 6
"13" "66 to 70" "Male" "Aannemers" 5
"14" "Older than 70" "Male" "Aannemers" 1
"15" "13" "Male" "Aardwerkers" 1
"16" "14 to 15" "Male" "Aardwerkers" 1
"17" "16 to 17" "Male" "Aardwerkers" 8
"18" "18 to 22" "Male" "Aardwerkers" 48
"19" "23 to 24" "Male" "Aardwerkers" 34
"20" "25 to 35" "Male" "Aardwerkers" 280
"21" "36 to 50" "Male" "Aardwerkers" 362
"22" "51 to 60" "Male" "Aardwerkers" 151
"23" "61 to 65" "Male" "Aardwerkers" 39
"24" "66 to 70" "Male" "Aardwerkers" 25
"25" "Older than 70" "Male" "Aardwerkers" 10
"26" "51 to 60" "Male" "Advertentieplaatser" 1
"27" "16 to 17" "Male" "Agenten" 1
"28" "18 to 22" "Male" "Agenten" 23
"29" "23 to 24" "Male" "Agenten" 42
"30" "25 to 35" "Male" "Agenten" 421
"31" "36 to 50" "Male" "Agenten" 543
"32" "51 to 60" "Male" "Agenten" 221
"33" "61 to 65" "Male" "Agenten" 72
"34" "66 to 70" "Male" "Agenten" 34
"35" "Older than 70" "Male" "Agenten" 20
"36" "23 to 24" "Female" "Agenten" 1
"37" "25 to 35" "Female" "Agenten" 1
"38" "36 to 50" "Female" "Agenten" 8
"39" "51 to 60" "Female" "Agenten" 3
"40" "61 to 65" "Female" "Agenten" 2
"41" "66 to 70" "Female" "Agenten" 1
"42" "18 to 22" "Male" "Agenten   " 4
"43" "23 to 24" "Male" "Agenten   " 2
"44" "25 to 35" "Male" "Agenten   " 19
"45" "36 to 50" "Male" "Agenten   " 37
"46" "51 to 60" "Male" "Agenten   " 7
"47" "61 to 65" "Male" "Agenten   " 8
"48" "66 to 70" "Male" "Agenten   " 4
"49" "36 to 50" "Female" "Agenten   " 1
"50" "18 to 22" "Male" "Apothekers" 2
"51" "23 to 24" "Male" "Apothekers" 5
"52" "25 to 35" "Male" "Apothekers" 33
"53" "36 to 50" "Male" "Apothekers" 46
"54" "51 to 60" "Male" "Apothekers" 45
"55" "61 to 65" "Male" "Apothekers" 16
"56" "66 to 70" "Male" "Apothekers" 9
"57" "Older than 70" "Male" "Apothekers" 8
"58" "25 to 35" "Female" "Apothekers" 1
"59" "36 to 50" "Female" "Apothekers" 4
"60" "51 to 60" "Female" "Apothekers" 2
"61" "Older than 70" "Female" "Apothekers" 1
"62" "13" "Male" "Apothekers (bedienden)" 2
"63" "14 to 15" "Male" "Apothekers (bedienden)" 7
"64" "16 to 17" "Male" "Apothekers (bedienden)" 13
"65" "18 to 22" "Male" "Apothekers (bedienden)" 34
"66" "23 to 24" "Male" "Apothekers (bedienden)" 8
"67" "25 to 35" "Male" "Apothekers (bedienden)" 67
"68" "36 to 50" "Male" "Apothekers (bedienden)" 67
"69" "51 to 60" "Male" "Apothekers (bedienden)" 24
"70" "61 to 65" "Male" "Apothekers (bedienden)" 9
"71" "66 to 70" "Male" "Apothekers (bedienden)" 7
"72" "Older than 70" "Male" "Apothekers (bedienden)" 1
"73" "16 to 17" "Female" "Apothekers (bedienden)" 4
"74" "18 to 22" "Female" "Apothekers (bedienden)" 29
"75" "Younger than 12" "Female" "Apothekers (bedienden)" 1
"76" "23 to 24" "Female" "Apothekers (bedienden)" 19
"77" "25 to 35" "Female" "Apothekers (bedienden)" 23
"78" "36 to 50" "Female" "Apothekers (bedienden)" 5
"79" "12" "Male" "Arbeiders" 3
"80" "13" "Male" "Arbeiders" 17
"81" "14 to 15" "Male" "Arbeiders" 44
"82" "16 to 17" "Male" "Arbeiders" 87
"83" "18 to 22" "Male" "Arbeiders" 373
"84" "23 to 24" "Male" "Arbeiders" 191
"85" "25 to 35" "Male" "Arbeiders" 908
"86" "36 to 50" "Male" "Arbeiders" 849
"87" "51 to 60" "Male" "Arbeiders" 300
"88" "61 to 65" "Male" "Arbeiders" 92
"89" "66 to 70" "Male" "Arbeiders" 71
"90" "Older than 70" "Male" "Arbeiders" 12
"91" "12" "Female" "Arbeiders" 1
"92" "13" "Female" "Arbeiders" 2
"93" "14 to 15" "Female" "Arbeiders" 5
"94" "16 to 17" "Female" "Arbeiders" 16
"95" "18 to 22" "Female" "Arbeiders" 19
"96" "23 to 24" "Female" "Arbeiders" 7
"97" "25 to 35" "Female" "Arbeiders" 23
"98" "36 to 50" "Female" "Arbeiders" 8
"99" "51 to 60" "Female" "Arbeiders" 4
"100" "61 to 65" "Female" "Arbeiders" 3
"101" "Older than 70" "Female" "Arbeiders" 1
"102" "18 to 22" "Male" "Arbeiders kanongieterij" 1
"103" "25 to 35" "Male" "Arbeiders kanongieterij" 5
"104" "36 to 50" "Male" "Arbeiders kanongieterij" 5
"105" "51 to 60" "Male" "Arbeiders kanongieterij" 1
"106" "66 to 70" "Male" "Arbeiders kanongieterij" 1
"107" "18 to 22" "Male" "Arbeiders stoomvaart" 2
"108" "23 to 24" "Male" "Arbeiders stoomvaart" 9
"109" "25 to 35" "Male" "Arbeiders stoomvaart" 4
"110" "36 to 50" "Male" "Arbeiders stoomvaart" 3
"111" "51 to 60" "Male" "Arbeiders stoomvaart" 7
"112" "13" "Male" "Architecten" 1
"113" "18 to 22" "Male" "Architecten" 10
"114" "23 to 24" "Male" "Architecten" 12
"115" "25 to 35" "Male" "Architecten" 84
"116" "36 to 50" "Male" "Architecten" 68
"117" "51 to 60" "Male" "Architecten" 24
"118" "61 to 65" "Male" "Architecten" 8
"119" "66 to 70" "Male" "Architecten" 5
"120" "Older than 70" "Male" "Architecten" 9
"121" "12" "Male" "Aschkarlieden" 2
"122" "13" "Male" "Aschkarlieden" 2
"123" "14 to 15" "Male" "Aschkarlieden" 3
"124" "16 to 17" "Male" "Aschkarlieden" 4
"125" "18 to 22" "Male" "Aschkarlieden" 5
"126" "23 to 24" "Male" "Aschkarlieden" 1
"127" "25 to 35" "Male" "Aschkarlieden" 20
"128" "36 to 50" "Male" "Aschkarlieden" 34
"129" "51 to 60" "Male" "Aschkarlieden" 8
"130" "61 to 65" "Male" "Aschkarlieden" 5
"131" "66 to 70" "Male" "Aschkarlieden" 3
"132" "Older than 70" "Male" "Aschkarlieden" 1
"133" "18 to 22" "Male" "Assurandeurs" 2
"134" "23 to 24" "Male" "Assurandeurs" 5
"135" "25 to 35" "Male" "Assurandeurs" 14
"136" "36 to 50" "Male" "Assurandeurs" 30
"137" "51 to 60" "Male" "Assurandeurs" 19
"138" "61 to 65" "Male" "Assurandeurs" 7
"139" "66 to 70" "Male" "Assurandeurs" 4
"140" "Older than 70" "Male" "Assurandeurs" 8
"141" "25 to 35" "Male" "Bad- en zweminrichtingen" 2
"142" "36 to 50" "Male" "Bad- en zweminrichtingen" 1
"143" "51 to 60" "Male" "Bad- en zweminrichtingen" 2
