"year","gender","age","occupation","population"
"1849",1,4,1,4480
"1849",2,4,1,20
"1849",1,4,2,50
"1849",2,4,2,20
"1849",1,3,3,30
"1849",1,4,3,1000
"1849",2,4,3,260
"1849",1,1,4,10
"1849",1,3,4,20
"1849",1,4,4,390
"1849",2,4,4,140
"1849",1,4,5,6650
"1849",1,4,6,30
"1849",1,4,7,3016
"1849",2,4,7,130
"1849",1,4,8,7960
"1849",1,4,9,3490
"1849",2,4,9,30
"1849",1,3,10,20
"1849",1,4,10,5435
"1849",2,4,10,250
"1849",1,1,11,10
"1849",1,2,11,50
"1849",1,3,11,980
"1849",1,4,11,2081
"1849",2,4,11,330
"1849",1,1,12,1550
"1849",2,1,12,900
"1849",1,2,12,5380
"1849",2,2,12,2900
"1849",1,3,12,686
"1849",2,3,12,2812
"1849",1,4,12,174389
"1849",2,4,12,66263
"1849",1,3,13,90
"1849",1,4,13,5220
"1849",2,4,13,70
"1849",1,3,14,320
"1849",1,4,14,860
"1849",2,4,14,50
"1849",1,1,15,10
"1849",2,1,15,10
"1849",1,2,15,60
"1849",1,3,15,880
"1849",1,4,15,2114
"1849",2,4,15,400
"1849",1,4,16,160
"1849",1,4,18,1720
"1849",2,4,18,30
"1849",1,1,19,10
"1849",1,2,19,10
"1849",1,3,19,670
"1849",2,3,19,10
"1849",1,4,19,1506
"1849",2,4,19,450
"1849",1,2,20,10
"1849",1,3,20,250
"1849",1,4,20,2140
"1849",1,4,21,1470
"1849",2,4,21,850
"1849",1,3,22,10
"1849",1,4,22,110
"1849",2,4,22,70
"1849",1,4,23,370
"1849",2,4,23,1060
"1849",1,1,24,10
"1849",1,2,24,50
"1849",2,2,24,20
"1849",1,3,24,450
"1849",2,3,24,180
"1849",1,4,24,1166
"1849",2,4,24,3640
"1849",1,2,25,70
"1849",2,2,25,10
"1849",1,3,25,420
"1849",2,3,25,70
"1849",1,4,25,7040
"1849",2,4,25,470
"1849",1,3,27,40
"1849",1,4,27,9840
"1849",2,4,27,500
"1849",1,4,28,1170
"1849",1,3,29,10
"1849",1,4,29,100
"1849",1,4,30,60
"1849",1,1,31,10
"1849",1,2,31,60
"1849",2,2,31,30
"1849",1,3,31,360
"1849",2,3,31,190
"1849",1,4,31,1259
"1849",2,4,31,9050
"1849",1,3,32,20
"1849",1,4,32,370
"1849",2,4,32,10
"1849",1,1,33,60
"1849",1,2,33,420
"1849",2,2,33,60
"1849",1,3,33,5130
"1849",2,3,33,300
"1849",1,4,33,11255
"1849",2,4,33,9130
"1849",1,1,34,20
"1849",1,2,34,180
"1849",2,2,34,10
"1849",1,3,34,2230
"1849",1,4,34,2664
"1849",2,4,34,620
"1849",1,1,35,20
"1849",1,2,35,210
"1849",1,3,35,2190
"1849",1,4,35,1103
"1849",2,4,35,30
"1849",1,3,36,70
"1849",1,4,36,1080
"1849",2,4,36,40
"1849",1,2,37,10
"1849",1,3,37,190
"1849",2,3,37,20
"1849",1,4,37,1220
"1849",2,4,37,360
"1849",2,1,38,150
"1849",2,2,38,160
"1849",1,3,38,10
"1849",2,3,38,620
"1849",1,4,38,280
"1849",2,4,38,3340
"1849",1,1,39,20
"1849",1,2,39,90
"1849",1,3,39,760
"1849",1,4,39,8000
"1849",2,4,39,250
"1849",1,3,41,20
"1849",1,4,41,1700
"1849",1,2,43,10
"1849",1,3,43,80
"1849",2,3,43,10
"1849",1,4,43,1256
"1849",2,4,43,150
"1849",1,3,44,30
"1849",1,4,44,550
"1849",2,4,44,430
"1849",1,4,45,90
"1849",2,4,45,30
"1849",1,1,46,80
"1849",1,2,46,430
"1849",1,3,46,8460
"1849",2,3,46,20
"1849",1,4,46,15562
"1849",2,4,46,8920
"1849",1,3,47,20
"1849",1,4,47,830
"1849",2,4,47,30
"1849",1,3,48,20
"1849",1,4,48,350
"1849",2,4,48,20
"1849",1,4,49,660
"1849",2,4,49,10
"1849",1,2,50,10
"1849",1,4,50,2560
"1849",2,4,50,70
