"","num","txt"
"3","1110","Amsterdam"
"4","1110","Haarlem"
"5","1110","A"
"6","1110","B"
"7","1110","C"
"8","1110","18 to 22 years"
"9","1110","23 to 35 years"
"10","1110","36 to 50 years"
"11","1110","51 to 60 years"
"12","1110","Male"
"13","1110","Married"
"14","1110","Unmarried"
"15","3510","Alkmaar"
"16","3510","Amsterdam"
"17","3510","Den Helder"
"18","3510","Haarlem"
"19","3510","Hilversum"
"20","3510","Nieuwer Amstel"
"21","3510","Zaandam"
"22","3510","A"
"23","3510","C"
"24","3510","D"
"25","3510","12 to 13 years"
"26","3510","14 to 15 years"
"27","3510","16 to 17 years"
"28","3510","18 to 22 years"
"29","3510","23 to 35 years"
"30","3510","36 to 50 years"
"31","3510","51 to 60 years"
"32","3510","61 to 65 years"
"33","3510","66 to 70 years"
"34","3510","More than 71 years"
"35","3510","Male"
"36","3510","Married"
"37","3510","Unmarried"
"38","4217","Alkmaar"
"39","4217","Amsterdam"
"40","4217","Den Helder"
"41","4217","Edam"
"42","4217","Enkhuizen"
"43","4217","Haarlem"
"44","4217","Haarlemmermeer"
"45","4217","Hilversum"
"46","4217","Hoorn"
"47","4217","Nieuwer Amstel"
"48","4217","Purmerend"
"49","4217","Sloten"
"50","4217","Texel"
"51","4217","Velsen"
"52","4217","Weesp"
"53","4217","Zaandam"
"54","4217","A"
"55","4217","B"
"56","4217","C"
"57","4217","D"
"58","4217","12 to 13 years"
"59","4217","14 to 15 years"
"60","4217","16 to 17 years"
"61","4217","18 to 22 years"
"62","4217","23 to 35 years"
"63","4217","36 to 50 years"
"64","4217","51 to 60 years"
"65","4217","61 to 65 years"
"66","4217","66 to 70 years"
"67","4217","More than 71 years"
"68","4217","Geboortejaren.  leeftijd in j."
"69","4217","Male"
"70","4217","Female"
"71","4217","Married"
"72","4217","Unmarried"
"73","4220","Amsterdam"
"74","4220","Den Helder"
"75","4220","Enkhuizen"
"76","4220","Nieuwer Amstel"
"77","4220","Sloten"
"78","4220","Weesp"
"79","4220","Zaandam"
"80","4220","A"
"81","4220","D"
"82","4220","14 to 15 years"
"83","4220","16 to 17 years"
"84","4220","18 to 22 years"
"85","4220","23 to 35 years"
"86","4220","36 to 50 years"
"87","4220","51 to 60 years"
"88","4220","61 to 65 years"
"89","4220","66 to 70 years"
"90","4220","More than 71 years"
"91","4220","Male"
"92","4220","Female"
"93","4220","Married"
"94","4220","Unmarried"
"95","4230","Alkmaar"
"96","4230","Amsterdam"
"97","4230","Den Helder"
"98","4230","Enkhuizen"
"99","4230","Haarlem"
"100","4230","Haarlemmermeer"
"101","4230","Hilversum"
"102","4230","Hoorn"
"103","4230","Nieuwer Amstel"
"104","4230","Texel"
"105","4230","Velsen"
"106","4230","Zaandam"
"107","4230","C"
"108","4230","16 to 17 years"
"109","4230","18 to 22 years"
"110","4230","23 to 35 years"
"111","4230","36 to 50 years"
"112","4230","51 to 60 years"
"113","4230","66 to 70 years"
"114","4230","Male"
"115","4230","Married"
"116","4230","Unmarried"
"117","6710","Alkmaar"
"118","6710","Amsterdam"
"119","6710","Den Helder"
"120","6710","Edam"
"121","6710","Enkhuizen"
"122","6710","Haarlem"
"123","6710","Hilversum"
"124","6710","Nieuwer Amstel"
"125","6710","Purmerend"
"126","6710","Weesp"
"127","6710","Zaandam"
"128","6710","A"
"129","6710","B"
"130","6710","18 to 22 years"
"131","6710","23 to 35 years"
"132","6710","36 to 50 years"
"133","6710","51 to 60 years"
"134","6710","61 to 65 years"
