"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occ_class_c" "occ_subclass_c" "occupation" "population" "HISCO"
"1" "Aanemers" "A" "36
---
50

1853
  ---
1839" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aanemers>" 3 "21240"
"3" "Aanemers" "A" "51
---
60

1838
  ---
1829" "M" "G" "Sloten" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Sloten/III/d_/Aanemers>" 1 "21240"
"5" "Aanemers" "B" "16
---
17

1873
  ---
1872" "M" "O" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aanemers>" 1 "21240"
"6" "Aanemers" "B" "36
---
50

1853
  ---
1839" "M" "G" "Velsen" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Velsen/III/d_/Aanemers>" 2 "21240"
"7" "Aanleggers gas- en waterleiding" "A" "25
---
35

1864
  ---
1854" "M" "O" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 1 "87110"
"8" "Aanleggers gas- en waterleiding" "A" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 1 "87110"
"9" "Aanleggers gas- en waterleiding" "A" "36
---
50

1853
  ---
1839" "M" "G" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 2 "87110"
"10" "Aanleggers gas- en waterleiding" "C" "16
---
17

1873
  ---
1872" "M" "O" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 1 "87110"
"11" "Aanleggers gas- en waterleiding" "C" "51
---
60

1838
  ---
1829" "M" "G" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 3 "87110"
"12" "Aanleggers gas- en waterleiding" "C" "25
---
35

1864
  ---
1854" "M" "G" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 1 "87110"
"13" "Aanleggers gas- en waterleiding" "C" "61
---
65

1828
  ---
1824" "M" "G" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 1 "87110"
"14" "Aanleggers gas- en waterleiding" "D" "25
---
35

1864
  ---
1854" "M" "G" "Haarlem." "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/a_/Aanleggers_gas-_en_waterleiding>" 3 "87110"
"16" "Aanleggers gas- en waterleiding" "D" "36
---
50

1853
  ---
1839" "M" "G" "Haarlem." "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/a_/Aanleggers_gas-_en_waterleiding>" 10 "87110"
"18" "Aanleggers gas- en waterleiding" "D" "51
---
60

1838
  ---
1829" "M" "G" "Haarlem." "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/a_/Aanleggers_gas-_en_waterleiding>" 4 "87110"
"20" "Aanleggers gas- en waterleiding" "D" "61
---
65

1828
  ---
1824" "M" "G" "Haarlem." "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Haarlem_/III/a_/Aanleggers_gas-_en_waterleiding>" 2 "87110"
"22" "Aanleggers gas- en waterleiding" "D" "18
---
22

1871
  ---
1867" "M" "O" "Amsterdam" "III" "a." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Amsterdam/III/a_/Aanleggers_gas-_en_waterleiding>" 1 "87110"
"24" "Aannemers" "A" "25
---
35

1864
  ---
1854" "M" "G" "Nieuwer Amstel" "III" "d." "<http://www.data2semantics.org/data/BRT_1889_08_T1_marked/Tabel_1/Nieuwer_Amstel/III/d_/Aannemers>" 2 "21240"
"36" "Aannemers" "A" "51
---
60

1838
  ---
