ID;BEROEP;ALTBEROEP;POSITIE;HISCO;STATUS;REL
1;Aaedewerk, diamant, glas kalk, steenen, enz.;aaedewerk diamant glas kalk steenen enz;;;;
2;Aardewerk en porcelein. ;aardewerk en porcelein;;;;
3;Fabricage van aardewerk (incl. porselein, terracotta, kachelbakkers, pottenbakkers enz.);fabricage van aardewerk incl porselein terracotta kachelbakkers pottenbakkers enz;C;89200;;
4;Fabricage van tabakspijpen;fabricage van tabakspijpen;A;21110;;
5;Diamant, edelsteenen en fijne steensoorten.;diamant edelsteenen en fijne steensoorten;;;;
6;Diamantslijpers (incl. verstellers);diamantslijpers incl verstellers;A;88030;;
7;Diamantslijpers (incl. verstellers);diamantslijpers incl verstellers;B;88030;;
8;Diamantslijpers (incl. verstellers);diamantslijpers incl verstellers;C;88030;;
9;Diamantslijpers (incl. verstellers);diamantslijpers incl verstellers;D;88030;;
10;Diamantsnijders;diamantsnijders;D;88030;;
11;Fabricage van parketvloeren;fabricage van parketvloeren;D;81205;;
12;Fabricage van marmarwaren;fabricage van marmarwaren;A;21110;;
13;Fabricage van marmarwaren;fabricage van marmarwaren;D;82000;;
14;Mamarslijpers;mamarslijpers;D;82020;;
15;Glas, kristal, spiegels. ;glas kristal spiegels;;;;
16;Fabricage van glas (incl kristal en spiegelglas);fabricage van glas incl kristal en spiegelglas;A;21110;;
17;Fabricage van glas (incl kristal en spiegelglas);fabricage van glas incl kristal en spiegelglas;D;89300;;
18;Fabricage van spiegels;fabricage van spiegels;A;21110;;
19;Fabricage van spiegels;fabricage van spiegels;D;89160;;
20;Glasblazers;glasblazers;A;89120;;
21;Glasblazers;glasblazers;C;89120;;
22;Glasblazers;glasblazers;D;89120;;
23;Cement. Gips, kalk, kiezel, kleitras, enz.;cement gips kalk kiezel kleitras enz;;;;
24;Fabricage van gips;fabricage van gips;A;21110;;
25;Fabricage van gips;fabricage van gips;D;95210;;
26;Fabricage van gipswaren ;fabricage van gipswaren;D;95210;;
27;Fabricage van kalk;fabricage van kalk;C;82000;;
28;Fabricage van kalk;fabricage van kalk;D;82000;;
29;Fabricage van tras;fabricage van tras;A;21110;;
30;Vormstekers;vormstekers;D;89100;;
31;Steenen, dakpannen. Draaineerbuizen, enz.;steenen dakpannen draaineerbuizen enz;;;;
32;Fabricage van dakpannen (pannenbakkers) ;fabricage van dakpannen pannenbakkers;A;21110;;
33;Fabricage van steen (molensteen,steenbakkers, tegelbakkers);fabricage van steen molensteen steenbakkers tegelbakkers;A;21110;;
34;Fabricage van steen (molensteen,steenbakkers, tegelbakkers);fabricage van steen molensteen steenbakkers tegelbakkers;D;83530;;
35;Steenbouwers;steenbouwers;A;89360;;
36;Steenbouwers;steenbouwers;C;89360;;
37;Steenbouwers;steenbouwers;D;89360;;
38;Totaal voor I;totaal voor i;A;;;
39;Totaal voor I;totaal voor i;B;;;
40;Totaal voor I;totaal voor i;C;;;
41;Totaal voor I;totaal voor i;D;;;
42;Totaal voor groep I;totaal voor groep i;;;;
43;"Boek-en steendrukkerij,hout; kopers; staalgravure. Photographie, enz.";boeken steendrukkerij hout kopers staalgravure photographie enz;;;;
44;Boekdrukkerij, letterverwaardiging enz. (incl. landsdrukkerij),;boekdrukkerij letterverwaardiging enz incl landsdrukkerij;;;;
45;Boekbinders;boekbinders;A;92625;;
46;Boekbinders;boekbinders;B;92625;;
47;Boekbinders;boekbinders;C;92625;;
48;Boekbinders;boekbinders;D;92625;;
49;Boekdrukkerij;boekdrukkerij;A;;;
50;Boekdrukkerij;boekdrukkerij;B;;;
51;Boekdrukkerij;boekdrukkerij;C;;;
52;Boekdrukkerij;boekdrukkerij;D;;;
53;Lettergieters;lettergieters;A;72420;;
54;Lettergieters;lettergieters;D;72420;;
55;Letterzetters;letterzetters;D;92120;;
56;Steendrukkerij, hout-, koper-, staalgravure, enz.;steendrukkerij hout koper staalgravure enz;;;;
57;Linieerders;linieerders;A;92290;;
58;Linieerders;linieerders;D;92290;;
59;Plaatsdrukkers;plaatsdrukkers;A;92225;;
60;Plaatsdrukkers;plaatsdrukkers;D;92225;;
61;Platenkleurders;platenkleurders;D;92290;;
62;Steendrukkers;steendrukkers;A;92250;;
63;Steendrukkers;steendrukkers;C;92250;;
64;Steendrukkers;steendrukkers;D;92250;;
65;Photigraphie, enz.;photigraphie enz;;;;
66;Photograven;photograven;A;16310;;
67;Photograven;photograven;D;16310;;
68;Retoucheurs;retoucheurs;D;92530;;
69;Totaal voor II;totaal voor ii;A;;;
70;Totaal voor II;totaal voor ii;B;;;
71;Totaal voor II;totaal voor ii;C;;;
72;Totaal voor II;totaal voor ii;D;;;
73;Totaal voor groepII;totaal voor groepii;;;;
74;Bouwbedrijven (incl. reiniging van gebouwen  en aanleggen, ondrehouden en reiniging van wegen en straten, ook gemeentelijkdienst).;bouwbedrijven incl reiniging van gebouwen en aanleggen ondrehouden en reiniging van wegen en straten ook gemeentelijkdienst;;;;
75;Gas- en waterleiding, enz;gas en waterleiding enz;;;;
76;Aanleggers gas- en waterleiding;aanleggers gas en waterleiding;A;87110;;
77;Aanleggers gas- en waterleiding;aanleggers gas en waterleiding;D;87110;;
78;Aanleggers gas- en waterleiding;aanleggers gas en waterleiding;C;87110;;
79;Waterleidingexploitatie;waterleidingexploitatie;A;21110;;
80;Waterleidingexploitatie;waterleidingexploitatie;B;21110;;
81;Waterleidingexploitatie;waterleidingexploitatie;C;21110;;
82;Waterleidingexploitatie;waterleidingexploitatie;D;21110;;
83;Bouw van huizen, molens, enz. ;bouw van huizen molens enz;;95000;;
84;Architecten;architecten;A;02120;;
85;Dekkers (lei-, pannen-, stroo- en riet-);dekkers lei pannen stroo en riet;A;95300;;
86;Dekkers (lei-, pannen-, stroo- en riet-);dekkers lei pannen stroo en riet;D;95300;;
87;Fundeeringmakers;fundeeringmakers;D;95210;32;
88;Glazenmakers;glazenmakers;D;95720;;
89;Loodgieters;loodgieters;A;87105;;
90;Loodgieters;loodgieters;C;87105;;
91;Loodgieters;loodgieters;D;87105;;
92;Metselaars;metselaars;A;95120;;
93;Metselaars;metselaars;B;95120;;
94;Metselaars;metselaars;C;95120;;
95;Metselaars;metselaars;D;95120;;
96;Molenmakers;molenmakers;A;95910;;
97;Molenmakers;molenmakers;D;95910;;
98;Opperlieden;opperlieden;D;99910;;
99;Steenkloppers (bikkers);steenkloppers bikkers;D;82000;;
100;Timmerlieden;timmerlieden;A;95410;;
101;Timmerlieden;timmerlieden;B;95410;;
102;Timmerlieden;timmerlieden;C;95410;;
103;Timmerlieden;timmerlieden;D;95410;;
104;Afwerken van huizen, enz;afwerken van huizen enz;;95000;;
105;Behangers;behangers;A;95925;;
106;Behangers;behangers;B;95925;;
107;Behangers;behangers;Z;95925;;
108;Behangers;behangers;D;95925;;
109;Decoratieschilders;decoratieschilders;A;93920;;
110;Decoratieschilders;decoratieschilders;D;93920;;
111;Huisschilders;huisschilders;A;93120;;
112;Huisschilders;huisschilders;B;93120;;
113;Huisschilders;huisschilders;C;93120;;
114;Huisschilders;huisschilders;D;93120;;
115;Stukadoors;stukadoors;A;95510;;
116;Stukadoors;stukadoors;B;95510;;
117;Stukadoors;stukadoors;D;95510;;
118;Openbare werken.;openbare werken;;;;
119;Aannemers;aannemers;A;21240;;
120;Aardwerkers;aardwerkers;D;89200;32;
121;Dijkwerkers ;dijkwerkers;D;97415;32;
122;Heibazen;heibazen;C;22675;31;
123;Opzichters;opzichters;C;22000;31;
124;Polderwerkers;polderwerkers;C;97415;32;
125;Polderwerkers;polderwerkers;D;97415;32;
126;Steenzetters;steenzetters;D;95140;;
127;Steigermakers;steigermakers;D;95940;;
128;Straatmakers;straatmakers;D;95160;;
129;Reiniging van bouwwerken, wegen en straten.;reiniging van bouwwerken wegen en straten;;;;
130;Aschkarlieden;aschkarlieden;D;49030;;
131;Baggerlieden;baggerlieden;C;97415;;
132;Baggerlieden;baggerlieden;D;97415;;
133;Glazenwasschers;glazenwasschers;A;55230;;
134;Glazenwasschers;glazenwasschers;D;55230;;
135;Openbare reiniging;openbare reiniging;B;55220;;
136;Openbare reiniging;openbare reiniging;C;55220;;
137;Openbare reiniging;openbare reiniging;D;55220;;
138;Schoorsteenvegers;schoorsteenvegers;A;55240;;
139;Schoorsteenvegers;schoorsteenvegers;D;55240;;
140;Straatvegers;straatvegers;D;99910;;
141;Zuiveraars van gebouwen;zuiveraars van gebouwen;A;55220;;
142;Totaal voor III;totaal voor iii;A;;;
143;Totaal voor III;totaal voor iii;B;;;
144;Totaal voor III;totaal voor iii;C;;;
145;Totaal voor III;totaal voor iii;D;;;
146;Totaal voor groep III;totaal voor groep iii;;;;
147; Chemische nijverheid, meststoffen, ontplofbare stoffen, verstoffen enz.;chemische nijverheid meststoffen ontplofbare stoffen verstoffen enz;;;;
148;Chemische nijverheid (incl. apotheken).;chemische nijverheid incl apotheken;;;;
149;Apothekers;apothekers;A;06710;;
150;Apothekers;apothekers;B;06710;;
151;Apothekers (bediende);apothekers bediende;C;06810;;
152;Chemisten;chemisten;A;01110;;
153;Chemisten;chemisten;B;01110;;
154;Chemisten;chemisten;C;01110;;
155;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;A;21110;;
156;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;B;21110;;
157;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;C;74990;;
158;Fabricage van chemicalië (asther, amoniak, chinine, houtteer,glycerine, soda, enz ;fabricage van chemicalië asther amoniak chinine houtteer glycerine soda enz;D;74990;;
159;Fabricage van eau de cologne;fabricage van eau de cologne;A;21110;;
160;Fabricage van eau de cologne;fabricage van eau de cologne;C;01190;;
