ID;BEROEP;ALTBEROEP;POSITIE;HISCO;STATUS;REL
1;Fabr. van gips;fabr van gips;A;21110;;
2;Fabr. van gips;fabr van gips;C;95210;;
2266;Overig personeel;overig personeel;D;-2;;
2298;Overig personeel;overig personeel;C;-2;;
2299;Overig personeel;overig personeel;D;-2;;
3;Fabr. van gips;fabr van gips;D;95210;;
2406;Overig personeel;overig personeel;C;-2;;
2407;Overig personeel;overig personeel;D;-2;;
4;Fabr. van kalk;fabr van kalk;C;82000;;
5;Fabr. van kalk;fabr van kalk;D;82000;;
6;Fabr. van tras [en cement];fabr van tras en cement;C;95210;;
2505;Overig personeel;overig personeel;C;-2;;
2506;Overig personeel;overig personeel;D;-2;;
2551;Overig personeel;overig personeel;D;-2;;
2554;Overige beroepen;overige beroepen;A;-2;;
2555;Overige beroepen;overige beroepen;D;-2;;
2568;Overige beroepen;overige beroepen;A;-2;;
7;Fabr. van tras [en cement];fabr van tras en cement;D;95210;;
2570;Overige beroepen;overige beroepen;D;-2;;
2645;Overige beroepen;overige beroepen;C;-2;;
2646;Overige beroepen;overige beroepen;D;-2;;
2647;Overige beroepen;overige beroepen;A;-2;;
2648;Overige beroepen;overige beroepen;B;-2;;
2649;Overige beroepen;overige beroepen;C;-2;;
2650;Overige beroepen;overige beroepen;D;-2;;
11;Fabr. van steen;fabr van steen;A;21110;;
2919;Overige beroepen;overige beroepen;;-2;;
4007;Overige beroepen;overige beroepen;D;-2;;
4022;Overig personeel;overig personeel;A;-2;;
4023;Overig personeel;overig personeel;D;-2;;
4052;Overige beroepen;overige beroepen;A;-2;;
4053;Overige beroepen;overige beroepen;D;-2;;
4078;Overige beroepen;overige beroepen;A;-2;;
4079;Overige beroepen;overige beroepen;C;-2;;
4080;Overige beroepen;overige beroepen;D;-2;;
4193;Overige beroepen;overige beroepen;;-2;;
4203;Overige beroepen;overige beroepen;;-2;;
5576;Overige beroepen;overige beroepen;A;-2;;
5622;Overige beroepen;overige beroepen;;-2;;
5632;Overige beroepen;overige beroepen;;-2;;
5657;Overige beroepen;overige beroepen;;-2;;
12711;Overig personeel;overig personeel;C;-2;;
12712;Overig personeel;overig personeel;D;-2;;
12977;Overig personeel;overig personeel;D;-2;;
13010;Overig personeel;overig personeel;C;-2;;
13011;Overig personeel;overig personeel;D;-2;;
13131;Overig personeel;overig personeel;A;-2;;
12;Fabr. van steen;fabr van steen;C;89200;;
13133;Overig personeel;overig personeel;C;-2;;
13134;Overig personeel;overig personeel;D;-2;;
13225;Overige beroepen;overige beroepen;A;-2;;
13226;Overige beroepen;overige beroepen;B;-2;;
13227;Overige beroepen;overige beroepen;D;-2;;
13252;Overig personeel;overig personeel;C;-2;;
13253;Overig personeel;overig personeel;D;-2;;
13307;Overige beroepen;overige beroepen;A;-2;;
13308;Overige beroepen;overige beroepen;C;-2;;
13309;Overige beroepen;overige beroepen;D;-2;;
13326;Overige beroepen;overige beroepen;A;-2;;
13327;Overige beroepen;overige beroepen;B;-2;;
13328;Overige beroepen;overige beroepen;C;-2;;
13329;Overige beroepen;overige beroepen;D;-2;;
13410;Overige beroepen;overige beroepen;A;-2;;
13411;Overige beroepen;overige beroepen;B;-2;;
13412;Overige beroepen;overige beroepen;C;-2;;
13413;Overige beroepen;overige beroepen;D;-2;;
13614;Overige beroepen;overige beroepen;;-2;;
13665;Overige beroepen;overige beroepen;;-2;;
13716;Overige beroepen;overige beroepen;;-2;;
13;Fabr. van steen;fabr van steen;D;89200;;
14;Fabr. van grof aardewerk;fabr van grof aardewerk;D;89200;;
4180;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
15;Fabr. v. steenen parketvloeren;fabr v steenen parketvloeren;A;21110;;
4834;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
5615;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
5987;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
6201;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
6527;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
7487;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
8207;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
9973;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
11538;Zeespruwers;zeespruwers;D;-1;;
13389;Spruwers;spruwers;D;-1;;
13576;s. Over. niet te rangschikken beroepen;s over niet te rangschikken beroepen;;-1;;
16;Fabr. v. steenen parketvloeren;fabr v steenen parketvloeren;D;89200;;
17;Fabr. van cementsteen [en kunststeen];fabr van cementsteen en kunststeen;C;95210;;
18;Fabr. van cementsteen [en kunststeen];fabr van cementsteen en kunststeen;D;95210;;
4175;m. Scheikundigen;m scheikundigen;;01110;;
4831;m. Scheikundigen;m scheikundigen;;01110;;
5610;m. Scheikundigen;m scheikundigen;;01110;;
7073;m. Scheikundigen;m scheikundigen;;01110;;
10420;Chemisten;chemisten;C;01110;;
12846;Scheikundigen;scheikundigen;C;01110;;
13570;m. Scheikundigen;m scheikundigen;;01110;;
19;Fabr. van ijzercement;fabr van ijzercement;A;21110;;
20;Fabr. van ijzercement;fabr van ijzercement;B;21110;;
4169;e. Ingenieurs;e ingenieurs;;02000;;
7748;e. Ingenieurs;e ingenieurs;;02000;;
13177;Ingenieurs;ingenieurs;C;02000;;
13563;e. Ingenieurs;e ingenieurs;;02000;;
21;Fabr. van ijzercement;fabr van ijzercement;C;95210;;
11078;Edelsteenzoekers;edelsteenzoekers;A;02790;;
22;Fabr. van ijzercement;fabr van ijzercement;D;95210;;
809;Teekenaars;teekenaars;C;03110;;
10223;Teekenaars;teekenaars;C;03110;;
27;Fabr. van porcelein [enz.];fabr van porcelein enz;A;21110;;
12894;Pers. in werkpl., techn. pers.;pers in werkpl techn pers;C;03200;;
28;Fabr. van porcelein [enz.];fabr van porcelein enz;D;89200;;
13402;Bouwk. opzichters;bouwk opzichters;C;03310;31;
29;Fabrikanten;fabrikanten;A;21110;;
13083;Werktuigkundigen;werktuigkundigen;C;03510;;
30;Fabrikanten;fabrikanten;D;99930;;
316;Schippers;schippers;D;04217;;
31;Plateelschilders;plateelschilders;C;89530;;
361;Schippers;schippers;D;04217;;
567;Schippers;schippers;D;04217;;
1059;Schippers;schippers;D;04217;;
1243;Schippers;schippers;D;04217;;
1475;Schippers;schippers;D;04217;;
1578;Schippers;schippers;D;04217;;
1731;Schippers;schippers;D;04217;;
1812;Schippers;schippers;D;04217;;
1969;Schippers;schippers;D;04217;;
2247;Schippers;schippers;D;04217;;
2268;Schippers;schippers;C;04217;;
2269;Schippers;schippers;D;04217;;
2292;Schippers;schippers;D;04217;;
32;Fabr. van terracotta-artikelen;fabr van terracottaartikelen;D;89300;;
33;Krammers van porcelein en aardewerk;krammers van porcelein en aardewerk;A;89290;;
37;Fabr. van glas;fabr van glas;A;21110;;
2392;Gezagvoerders;gezagvoerders;A;04217;;
2393;Gezagvoerders;gezagvoerders;B;04217;;
2394;Gezagvoerders;gezagvoerders;C;04217;;
38;Fabr. van glas;fabr van glas;C;89300;;
39;Fabr. van glas;fabr van glas;D;89300;;
2397;Schippers;schippers;C;04217;;
2398;Schippers;schippers;D;04217;;
2461;Schippers;schippers;D;04217;;
3061;Schippers;schippers;A;04217;;
3997;Gezagvoerders;gezagvoerders;C;04217;;
4013;Gezagvoerders;gezagvoerders;C;04217;;
4014;Schippers;schippers;A;04217;;
4015;Schippers;schippers;B;04217;;
4016;Schippers;schippers;C;04217;;
4017;Schippers;schippers;D;04217;;
4485;Schippers;schippers;C;04217;;
4726;Gezagvoerders;gezagvoerders;B;04217;;
4733;Schippers;schippers;A;04217;;
4734;Schippers;schippers;D;04217;;
4745;Schippers;schippers;A;04217;;
4746;Schippers;schippers;B;04217;;
4747;Schippers;schippers;D;04217;;
4898;Schippers;schippers;D;04217;;
5384;Schippers;schippers;A;04217;;
5385;Schippers;schippers;C;04217;;
5498;Gezagvoerders;gezagvoerders;B;04217;;
5515;Gezagvoerders;gezagvoerders;B;04217;;
5520;Schippers;schippers;A;04217;;
5521;Schippers;schippers;B;04217;;
5522;Schippers;schippers;C;04217;;
5523;Schippers;schippers;D;04217;;
10030;Schippers;schippers;D;04217;;
10292;Schippers;schippers;A;04217;;
40;Glasblazers;glasblazers;A;89120;;
41;Glasblazers;glasblazers;C;89120;;
10397;Schippers;schippers;D;04217;;
10442;Schippers;schippers;C;04217;;
10443;Schippers;schippers;D;04217;;
11288;Schippers;schippers;D;04217;;
11534;Schippers;schippers;C;04217;;
11535;Schippers;schippers;D;04217;;
11888;Schippers;schippers;D;04217;;
12009;Schippers;schippers;D;04217;;
12083;Schippers;schippers;D;04217;;
12242;Schippers;schippers;D;04217;;
12353;Schippers;schippers;D;04217;;
12608;Schippers;schippers;A;04217;;
12609;Schippers;schippers;C;04217;;
12632;Schippers;schippers;D;04217;;
12718;Schippers;schippers;A;04217;;
12719;Schippers;schippers;D;04217;;
12866;Schippers;schippers;C;04217;;
12943;Schippers;schippers;D;04217;;
12975;Schippers;schippers;C;04217;;
12976;Schippers;schippers;D;04217;;
13004;Schippers;schippers;D;04217;;
13052;Gezagvoerders;gezagvoerders;A;04217;;
13053;Gezagvoerders;gezagvoerders;B;04217;;
13054;Gezagvoerders;gezagvoerders;C;04217;;
13116;Gezagvoerders;gezagvoerders;A;04217;;
13117;Gezagvoerders;gezagvoerders;B;04217;;
13118;Gezagvoerders;gezagvoerders;C;04217;;
13119;Schippers;schippers;A;04217;;
13120;Schippers;schippers;B;04217;;
13121;Schippers;schippers;C;04217;;
13122;Schippers;schippers;D;04217;;
13203;Schippers;schippers;D;04217;;
42;Glasblazers;glasblazers;D;89120;;
43;Fabr. van flesschen;fabr van flesschen;A;21110;;
44;Fabr. van flesschen;fabr van flesschen;C;89100;;
4749;Veerlieden;veerlieden;D;04220;;
5524;Veerlieden;veerlieden;A;04220;;
13135;Veerlieden;veerlieden;A;04220;;
13136;Veerlieden;veerlieden;D;04220;;
46;Fabrikanten;fabrikanten;B;21110;;
47;Fabrikanten;fabrikanten;C;99930;;
2399;Stuurlieden;stuurlieden;C;04230;;
2400;Stuurlieden;stuurlieden;D;04230;;
3999;Stuurlieden;stuurlieden;C;04230;;
4018;Stuurlieden;stuurlieden;C;04230;;
4727;Stuurlieden;stuurlieden;C;04230;;
5500;Stuurlieden;stuurlieden;C;04230;;
5516;Stuurlieden;stuurlieden;C;04230;;
13056;Stuurlieden;stuurlieden;C;04230;;
13057;Stuurlieden;stuurlieden;D;04230;;
13123;Stuurlieden;stuurlieden;C;04230;;
13124;Stuurlieden;stuurlieden;D;04230;;
49;Polijsters;polijsters;D;83590;;
50;Glasslijpers;glasslijpers;A;89164;;
51;Glasslijpers;glasslijpers;C;89164;;
13086;Loodsen;loodsen;A;04240;;
13087;Loodsen;loodsen;C;04240;;
13088;Loodsen;loodsen;D;04240;;
52;Glasslijpers;glasslijpers;D;89164;;
13644;Prosectors;prosectors;;05430;;
53;Glasgraveurs;glasgraveurs;A;89420;;
54;Glasgraveurs;glasgraveurs;D;89420;;
4165;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
4826;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
5605;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
5977;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
6195;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
6516;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
6806;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
7068;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
7290;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
7481;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
7746;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
7972;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
8199;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
8394;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
8639;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
8883;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
9062;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
9288;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
9522;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
9960;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
13559;a. Genees-, heel- en verloskundigen;a genees heel en verloskundigen;;06105;;
55;Glassnijders;glassnijders;A;89156;;
13646;Geneesheeren;geneesheeren;;06105;;
56;Glassnijders;glassnijders;D;89156;;
4167;c. Veeartsen;c veeartsen;;06510;;
5607;c. Veeartsen;c veeartsen;;06510;;
5979;c. Veeartsen;c veeartsen;;06510;;
6197;c. Veeartsen;c veeartsen;;06510;;
6518;c. Veeartsen;c veeartsen;;06510;;
6808;c. Veeartsen;c veeartsen;;06510;;
8201;c. Veeartsen;c veeartsen;;06510;;
8641;c. Veeartsen;c veeartsen;;06510;;
9064;c. Veeartsen;c veeartsen;;06510;;
9290;c. Veeartsen;c veeartsen;;06510;;
9962;c. Veeartsen;c veeartsen;;06510;;
13561;c. Veeartsen;c veeartsen;;06510;;
66;Diamantklovers;diamantklovers;A;88030;;
67;Diamantklovers;diamantklovers;C;88030;;
68;Diamantklovers;diamantklovers;D;88030;;
69;Diamantsnijders;diamantsnijders;A;88030;;
70;Diamantsnijders;diamantsnijders;B;88030;;
3112;Apothekers;apothekers;A;06710;;
3113;Apothekers;apothekers;B;06710;;
3114;Apothekers;apothekers;C;06710;;
3115;Apothekers;apothekers;D;06710;;
4322;Apothekers;apothekers;A;06710;;
4323;Apothekers;apothekers;C;06710;;
4324;Apothekers;apothekers;D;06710;;
4986;Apothekers;apothekers;A;06710;;
4987;Apothekers;apothekers;C;06710;;
10413;Apothekers;apothekers;A;06710;;
10414;Apothekers;apothekers;B;06710;;
10415;Apothekers;apothekers;C;06710;;
10416;Apothekers;apothekers;D;06710;;
13637;Apothekers;apothekers;;06710;;
71;Diamantsnijders;diamantsnijders;C;88030;;
72;Diamantsnijders;diamantsnijders;D;88030;;
73;Diamantslijpers;diamantslijpers;A;88030;;
4200;(zieken)verplegers buiten gestichten;ziekenverplegers buiten gestichten;;07110;;
5629;(zieken)verplegers buiten gestichten;ziekenverplegers buiten gestichten;;07110;;
13085;Ziekenverplegers;ziekenverplegers;D;07110;;
13629;(zieken)verplegers buiten gestichten;ziekenverplegers buiten gestichten;;07110;;
74;Diamantslijpers;diamantslijpers;B;88030;;
4166;b. Vroedvrouwen;b vroedvrouwen;;07310;;
4827;b. Vroedvrouwen;b vroedvrouwen;;07310;;
5606;b. Vroedvrouwen;b vroedvrouwen;;07310;;
5978;b. Vroedvrouwen;b vroedvrouwen;;07310;;
6196;b. Vroedvrouwen;b vroedvrouwen;;07310;;
6517;b. Vroedvrouwen;b vroedvrouwen;;07310;;
6807;b. Vroedvrouwen;b vroedvrouwen;;07310;;
7069;b. Vroedvrouwen;b vroedvrouwen;;07310;;
7291;b. Vroedvrouwen;b vroedvrouwen;;07310;;
7482;b. Vroedvrouwen;b vroedvrouwen;;07310;;
7973;b. Vroedvrouwen;b vroedvrouwen;;07310;;
8200;b. Vroedvrouwen;b vroedvrouwen;;07310;;
8395;b. Vroedvrouwen;b vroedvrouwen;;07310;;
8640;b. Vroedvrouwen;b vroedvrouwen;;07310;;
8884;b. Vroedvrouwen;b vroedvrouwen;;07310;;
9063;b. Vroedvrouwen;b vroedvrouwen;;07310;;
9289;b. Vroedvrouwen;b vroedvrouwen;;07310;;
9523;b. Vroedvrouwen;b vroedvrouwen;;07310;;
9961;b. Vroedvrouwen;b vroedvrouwen;;07310;;
13560;b. Vroedvrouwen;b vroedvrouwen;;07310;;
75;Diamantslijpers;diamantslijpers;C;88030;;
76;Diamantslijpers;diamantslijpers;D;88030;;
4202;Bakers;bakers;;07410;;
4847;Bakers;bakers;;07410;;
5631;Bakers;bakers;;07410;;
13632;Bakers;bakers;;07410;;
13633;Voedsters;voedsters;;07410;;
77;Technisch personeel;technisch personeel;C;84100;;
13636;Masseurs;masseurs;;07640;;
13654;Masseurs;masseurs;;07640;;
78;Kantoorpersoneel;kantoorpersoneel;C;39310;;
79;Kantoorpersoneel;kantoorpersoneel;D;39310;;
13487;Wiskundig adviseurs;wiskundig adviseurs;C;08240;;
13544;Wiskundig adviseur;wiskundig adviseur;C;08240;;
80;Pers. in alg. dienst;pers in alg dienst;D;30000;;
4168;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
5980;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
6519;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
7483;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
7747;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
9963;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
13562;d. Advocaten en procureurs;d advocaten en procureurs;;12110;;
81;Verhuurd. v. molens;verhuurd v molens;A;41040;11;
4216;e. Notarissen;e notarissen;;12310;;
4856;e. Notarissen;e notarissen;;12310;;
5642;e. Notarissen;e notarissen;;12310;;
5996;e. Notarissen;e notarissen;;12310;;
6209;e. Notarissen;e notarissen;;12310;;
6535;e. Notarissen;e notarissen;;12310;;
6823;e. Notarissen;e notarissen;;12310;;
7083;e. Notarissen;e notarissen;;12310;;
7304;e. Notarissen;e notarissen;;12310;;
7493;e. Notarissen;e notarissen;;12310;;
7761;e. Notarissen;e notarissen;;12310;;
7984;e. Notarissen;e notarissen;;12310;;
8215;e. Notarissen;e notarissen;;12310;;
