parent,child
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Verplegers_van_verlaten_kinderen
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Krankzinnigenoppassers__andere_
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Directeuren_gestichten_of_inrichtingen_tot_verpleging_of_verzorging
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Verplegers_en_verpleegsters
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Directeuren_toevluchtsoord_voor_behoeftigen
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Binnenvaders_en_-moeders_in_werkinrichtingen
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Ziekenoppassers__in_gestichten_
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Krankzinnigenoppassers__in_gestichten_
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Binnenvaders_en_-moeders__oude_mannen-_en_vrouwenhuizen
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Weesvaders_en_weesmoeders
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Beambten_in_gestichten_tot_verpleging
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Armvaders
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Ziekenoppassers__buiten_gestichten_
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Suppoosten
http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII/h/Huismeesters_in_gestichten_tot_verpleging_of_verzorging
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/III
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXIII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/IV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XVIII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/V
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XVII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XIX
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/VIII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/VI
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXXI
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/II
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XIV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXIV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/I
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVI
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXXIV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XI
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XX
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XVI
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/X
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/VII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/IX
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XIII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXXV
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXVIII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXI
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXXIII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXXII
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXX
http://www.data2semantics.org/data/1889_marked/Beroepen,http://www.data2semantics.org/data/1889_marked/Beroepen/XXIX
http://www.data2semantics.org/data/1889_marked/Beroepen/IX/a,http://www.data2semantics.org/data/1889_marked/Beroepen/IX/a/Delvers_van_ijzererts
http://www.data2semantics.org/data/1889_marked/Beroepen/IX/a,http://www.data2semantics.org/data/1889_marked/Beroepen/IX/a/Opzichters_van_ijzerertsontginning
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Houthakkers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_lijsten
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_sigarenkisten
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_houten_parketvloeren
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Verlakkers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_jalouzie%C3%ABn
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Handboogmakers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Kuipers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Klompenmakers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Hoepelmakers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_stoelen
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_meubels__meubelmakers_
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_houten_pennen
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Modelmakers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_leesten
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Doodkistenmakers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Houtzagers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Kachelhoutjesmakers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Witwerkers
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Houtbereiders__creosoteering_
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Fabricage_van_houtwaren
http://www.data2semantics.org/data/1889_marked/Beroepen/V/a,http://www.data2semantics.org/data/1889_marked/Beroepen/V/a/Muizenvallenmakers
