"occupation_c" "position_c" "age_c" "gender_c" "marital_status_c" "municipality_c" "occupation" "population" "HISCO"
"1" "[steen-]slijpers" "D" "36 - 50
1863 - 1849" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/%5Bsteen-%5Dslijpers>" 1 "83530"
"3" "Aannemers" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 20 "21240"
"12" "Aannemers" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 3 "21240"
"21" "Aannemers" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Zaandam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"30" "Aannemers" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 3 "21240"
"39" "Aannemers" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"48" "Aannemers" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 30 "21240"
"57" "Aannemers" "A" "23 - 35
1876 - 1864" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 10 "21240"
"66" "Aannemers" "A" "36 - 50
1863 - 1849" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 5 "21240"
"75" "Aannemers" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 4 "21240"
"84" "Aannemers" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"93" "Aannemers" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 4 "21240"
"102" "Aannemers" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 10 "21240"
"111" "Aannemers" "A" "71 en daarboven
1828 en vroeger" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"120" "Aannemers" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Haarlem" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 9 "21240"
"129" "Aannemers" "A" "61 - 65
1838 - 1834" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"138" "Aannemers" "A" "51 - 60
1848 - 1839" "MANNEN" "O." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 3 "21240"
"147" "Aannemers" "A" "51 - 60
1848 - 1839" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"156" "Aannemers" "A" "61 - 65
1838 - 1834" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 8 "21240"
"165" "Aannemers" "A" "23 - 35
1876 - 1864" "MANNEN" "O." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"174" "Aannemers" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 4 "21240"
"183" "Aannemers" "A" "36 - 50
1863 - 1849" "MANNEN" "G." "Helder (den)" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 4 "21240"
"192" "Aannemers" "C" "36 - 50
1863 - 1849" "MANNEN" "G." "Amsterdam" "<http://www.data2semantics.org/data/BRT_1899_04_T_marked/Noordholland/Aannemers>" 1 "21240"
"196" "Aannemers" "C" "51 - 60
