"gender_c" "age_c" "occupation_c" "population"
"3" "Male" "Older than 16" "Aannemers" 4480
"4" "Female" "Older than 16" "Aannemers" 20
"8" "Male" "Older than 16" "Aardappelenmeelfabrijkanten" 50
"9" "Female" "Older than 16" "Aardappelenmeelfabrijkanten" 20
"14" "Male" "12 to 15" "Aardewerk- en porceleinfabrijkanten" 30
"15" "Male" "Older than 16" "Aardewerk- en porceleinfabrijkanten" 1000
"16" "Female" "Older than 16" "Aardewerk- en porceleinfabrijkanten" 260
"23" "Male" "Younger than 10" "Aardewerk- en porceleinkooplieden" 10
"24" "Male" "12 to 15" "Aardewerk- en porceleinkooplieden" 20
"25" "Male" "Older than 16" "Aardewerk- en porceleinkooplieden" 390
"26" "Female" "Older than 16" "Aardewerk- en porceleinkooplieden" 140
"32" "Male" "Older than 16" "Advokaten" 6650
"35" "Male" "Older than 16" "Afbraakverkoopers" 30
"39" "Male" "Older than 16" "Ambtenaren Gemeente-" 3016
"40" "Female" "Older than 16" "Ambtenaren Gemeente-" 130
"44" "Male" "Older than 16" "Ambtenaren Niet genoemde" 7960
"47" "Male" "Older than 16" "Ambtenaren Provinciale" 3490
"48" "Female" "Older than 16" "Ambtenaren Provinciale" 30
"53" "Male" "12 to 15" "Ambtenaren Staats-" 20
"54" "Male" "Older than 16" "Ambtenaren Staats-" 5435
"55" "Female" "Older than 16" "Ambtenaren Staats-" 250
"62" "Male" "Younger than 10" "Apothekers, drogisten" 10
"63" "Male" "10 to 11" "Apothekers, drogisten" 50
"64" "Male" "12 to 15" "Apothekers, drogisten" 980
"65" "Male" "Older than 16" "Apothekers, drogisten" 2081
"66" "Female" "Older than 16" "Apothekers, drogisten" 330
"80" "Male" "Younger than 10" "Arbeiders, daglooners" 1550
"81" "Female" "Younger than 10" "Arbeiders, daglooners" 900
"82" "Male" "10 to 11" "Arbeiders, daglooners" 5380
"83" "Female" "10 to 11" "Arbeiders, daglooners" 2900
"84" "Male" "12 to 15" "Arbeiders, daglooners" 686
"85" "Female" "12 to 15" "Arbeiders, daglooners" 2812
"86" "Male" "Older than 16" "Arbeiders, daglooners" 174389
"87" "Female" "Older than 16" "Arbeiders, daglooners" 66263
"99" "Male" "12 to 15" "Asch-, bagger-, vuilnislieden, aschverkoopers" 90
"100" "Male" "Older than 16" "Asch-, bagger-, vuilnislieden, aschverkoopers" 5220
"101" "Female" "Older than 16" "Asch-, bagger-, vuilnislieden, aschverkoopers" 70
"107" "Male" "12 to 15" "Azijnstokers, kunstazijnmakers" 320
"108" "Male" "Older than 16" "Azijnstokers, kunstazijnmakers" 860
"109" "Female" "Older than 16" "Azijnstokers, kunstazijnmakers" 50
"116" "Male" "Younger than 10" "Baardscheerders, kappers, paruikenmakers" 10
"117" "Female" "Younger than 10" "Baardscheerders, kappers, paruikenmakers" 10
"118" "Male" "10 to 11" "Baardscheerders, kappers, paruikenmakers" 60
"119" "Male" "12 to 15" "Baardscheerders, kappers, paruikenmakers" 880
"120" "Male" "Older than 16" "Baardscheerders, kappers, paruikenmakers" 2114
"121" "Female" "Older than 16" "Baardscheerders, kappers, paruikenmakers" 400
"129" "Male" "Older than 16" "Badstoofhouders" 160
"132" "Male" "Older than 16" "Bankiers, effektenhandelaars, geldwisselaars, kassiers" 1720
"133" "Female" "Older than 16" "Bankiers, effektenhandelaars, geldwisselaars, kassiers" 30
"139" "Male" "Younger than 10" "Bed- en matrassenmakers en verhuurders, behangers, stoffeerders" 10
"140" "Male" "10 to 11" "Bed- en matrassenmakers en verhuurders, behangers, stoffeerders" 10
"141" "Male" "12 to 15" "Bed- en matrassenmakers en verhuurders, behangers, stoffeerders" 670
"142" "Female" "12 to 15" "Bed- en matrassenmakers en verhuurders, behangers, stoffeerders" 10
"143" "Male" "Older than 16" "Bed- en matrassenmakers en verhuurders, behangers, stoffeerders" 1506
